index,difficulty,time,user_key,user_idx,model,tau,text,cefr,years,frequency
0,0.25,240.922431,qsmwdxpl,2,sel,0.1,crime_and_punishment_1,C2,20,daily
1,0.55,195.614336,qsmwdxpl,2,size,0.9,beyond_good_and_evil_1,C2,20,daily
2,0.4,121.88484,qsmwdxpl,2,gpt4,0.1,emma_1,C2,20,daily
3,0.30000000000000004,142.694761,qsmwdxpl,2,mip,0.9,pride_and_prejudice_2,C2,20,daily
4,0.19999999999999996,181.747171,gshdefjk,5,size,0.1,beyond_good_and_evil_1,C1,0,never
5,0.35,299.286317,gshdefjk,5,sel,0.9,crime_and_punishment_1,C1,0,never
6,0.35,192.672358,gshdefjk,5,mip,0.9,emma_1,C1,0,never
7,0.44999999999999996,272.414679,gshdefjk,5,gpt4,0.1,pride_and_prejudice_2,C1,0,never
8,0.5,711.815397,vcrofjdu,6,sel,0.9,beyond_good_and_evil_1,C2,19,daily
9,0.050000000000000044,134.252247,vcrofjdu,6,size,0.1,crime_and_punishment_1,C2,19,daily
10,0.15000000000000002,265.085287,vcrofjdu,6,gpt4,0.9,emma_1,C2,19,daily
11,0.0,96.534582,vcrofjdu,6,mip,0.1,pride_and_prejudice_2,C2,19,daily
12,0.050000000000000044,288.539964,pzboacqr,8,mip,0.9,beyond_good_and_evil_1,C1,6,daily
13,0.050000000000000044,390.203027,pzboacqr,8,gpt4,0.1,crime_and_punishment_1,C1,6,daily
14,0.09999999999999998,201.15175,pzboacqr,8,size,0.9,pride_and_prejudice_2,C1,6,daily
15,0.0,102.16171800000001,pzboacqr,8,sel,0.1,emma_1,C1,6,daily
16,0.35,145.098197,mzcigsrk,10,gpt4,0.9,beyond_good_and_evil_1,C1,15,never
17,0.19999999999999996,159.254766,mzcigsrk,10,mip,0.1,crime_and_punishment_1,C1,15,never
18,0.35,264.631341,mzcigsrk,10,size,0.9,emma_1,C1,15,never
19,0.09999999999999998,91.993115,mzcigsrk,10,sel,0.1,pride_and_prejudice_2,C1,15,never
20,0.25,286.391613,ndtueyxi,11,gpt4,0.1,beyond_good_and_evil_1,C2,10,daily
21,0.19999999999999996,285.801892,ndtueyxi,11,size,0.9,crime_and_punishment_1,C2,10,daily
22,0.09999999999999998,108.4812,ndtueyxi,11,mip,0.1,emma_1,C2,10,daily
23,0.15000000000000002,153.291751,ndtueyxi,11,sel,0.9,pride_and_prejudice_2,C2,10,daily
24,0.19999999999999996,218.065269,cdgmfunt,12,sel,0.1,crime_and_punishment_1,C2,9,daily
25,0.35,220.180858,cdgmfunt,12,size,0.9,beyond_good_and_evil_1,C2,9,daily
26,0.4,258.420997,cdgmfunt,12,gpt4,0.1,emma_1,C2,9,daily
27,0.15000000000000002,132.693539,cdgmfunt,12,mip,0.9,pride_and_prejudice_2,C2,9,daily
28,0.0,302.944495,ekxumjgp,14,sel,0.9,beyond_good_and_evil_1,C2,10,weekly
29,0.09999999999999998,204.993026,ekxumjgp,14,size,0.1,crime_and_punishment_1,C2,10,weekly
30,0.050000000000000044,221.487798,ekxumjgp,14,gpt4,0.9,emma_1,C2,10,weekly
