2,1,1,1,1,8
5,2,1,1,1,7
6,3,1,1,1,6
8,4,1,1,1,4
10,5,1,1,1,2
11,6,1,1,1,1
12,7,1,1,1,8
14,8,1,1,1,6
15,9,1,1,1,5
16,10,1,1,1,4
17,11,1,1,1,3
18,12,1,1,1,2
19,13,1,1,1,1
21,14,1,1,1,7
22,15,1,1,1,6
23,16,1,1,1,5
24,17,1,1,1,4
26,18,1,1,1,2
27,19,1,1,1,1
28,20,1,1,1,8
29,21,1,1,1,7
30,22,1,1,1,6
32,23,1,1,1,4
33,24,1,1,1,3
34,25,1,1,1,3
36,26,1,1,1,3
37,27,1,1,1,2
38,28,1,1,1,1
40,29,1,1,1,8
41,30,1,1,1,7
42,31,1,1,1,6
43,32,1,1,1,5
44,33,1,1,1,4
46,34,1,1,1,3
50,35,1,1,1,7
52,36,1,1,1,1
53,37,1,1,1,8
54,38,1,1,1,5
56,39,1,1,1,2
58,40,1,1,1,5
